policyDefinitionId,groupNames,parameters
abda6d70-9778-44e7-84a8-06713e6db027,16.1.32.C.01.,
e3e008c3-56b9-4133-8fd7-d3347377402a,23.3.19.C.01.,
e9ac8f8e-ce22-4355-8f04-99b911d6be52,16.4.30.C.01.,
0fea8f8a-4169-495d-8307-30ec335f387d,18.1.13.C.02.,
5e1de0e3-42cb-4ebc-a86d-61d0c619ca48,10.8.35.C.01.,
82067dbb-e53b-4e06-b631-546d197452d9,17.2.19.C.01.,
9b597639-28e4-48eb-b506-56b05d366257,14.1.9.C.01.,
a7ff3161-0087-490a-9ad9-ad6217f4f43a,23.4.9.C.01.,
b02aacc0-b073-424e-8298-42b22829ee0a,16.6.13.C.01.,
c43e4a30-77cb-48ab-a4dd-93f175c63b57,14.1.9.C.01.,
c9299215-ae47-4f50-9c54-8a392f68a052,10.8.35.C.01.,
f4b53539-8df9-40e4-86c6-6b607703bd4e,23.4.9.C.01.,
ff25f3c8-b739-4538-9d07-3d6d25cfb255,17.2.22.C.01.,
